,algorithm,dim,difficulty,index_map,distance,ram,time
141,prog_din,20,M,2,38.0,26779.0,0.06404934499005321
142,prog_din,20,M,3,38.0,26779.0,0.06353612299426459
143,prog_din,20,M,4,38.0,26779.0,0.06684179199510254
144,prog_din,20,M,5,38.0,26779.0,0.06872044199553784
145,prog_din,20,M,6,38.0,26779.0,0.06533876199682709
146,prog_din,20,M,7,38.0,26779.0,0.0666597810050007
147,prog_din,20,M,8,38.0,26779.0,0.06356843600224238
148,prog_din,20,M,9,38.0,26779.0,0.07031582501076628
149,prog_din,20,M,10,38.0,26779.0,0.05991185299353674
150,bfs,20,D,1,38.0,71860.0,0.006251643993891776
151,bfs,20,D,2,38.0,72300.0,0.006444213999202475
152,bfs,20,D,3,38.0,75084.0,0.006289044002187438
153,bfs,20,D,4,38.0,75116.0,0.006546816002810374
154,bfs,20,D,5,38.0,35828.0,0.0036328199930721894
155,bfs,20,D,6,38.0,40828.0,0.005259017998469062
156,bfs,20,D,7,38.0,34772.0,0.004694935007137246
157,bfs,20,D,8,38.0,79724.0,0.009147236007265747
158,bfs,20,D,9,38.0,79004.0,0.006761135999113321
159,bfs,20,D,10,38.0,72212.0,0.006113786002970301
160,kohonen,20,D,1,63.074278523713524,29131.0,274.606460676001
161,kohonen,20,D,2,47.67122892276314,29131.0,274.5400193799942
162,kohonen,20,D,3,912.3944356972988,29131.0,274.15086704100395
163,kohonen,20,D,4,52.765073530888344,29131.0,274.1714000130014
164,kohonen,20,D,5,,36402.0,279.68146452100336
165,kohonen,20,D,6,185120.16750812987,29131.0,274.31840920399554
166,kohonen,20,D,7,5.3214770428751e+51,29131.0,269.31031039400114
167,kohonen,20,D,8,51.94931256423737,29131.0,274.71136126499914
168,kohonen,20,D,9,51.59998273409213,29131.0,272.6142090619978
169,kohonen,20,D,10,50.889904980370375,29131.0,274.06786910899973
170,prog_din,20,D,1,38.0,26779.0,0.062306937004905194
171,prog_din,20,D,2,38.0,26779.0,0.06125733700173441
172,prog_din,20,D,3,38.0,26779.0,0.06379204199765809
173,prog_din,20,D,4,38.0,26779.0,0.06797460999223404
174,prog_din,20,D,5,38.0,26779.0,0.03972503599652555
175,prog_din,20,D,6,38.0,26779.0,0.0546937600011006
176,prog_din,20,D,7,38.0,26779.0,0.0480604730109917
177,prog_din,20,D,8,38.0,26779.0,0.06868659199972171
178,prog_din,20,D,9,38.0,26779.0,0.06959558100788854
179,prog_din,20,D,10,38.0,26779.0,0.0658612510014791
180,bfs,50,F,1,98.0,344948.0,0.04750965999846812
181,bfs,50,F,2,98.0,350004.0,0.04834188599488698
182,bfs,50,F,3,98.0,346004.0,0.051142272001015954
183,bfs,50,F,4,98.0,349252.0,0.04600052199384663
184,bfs,50,F,5,98.0,348612.0,0.045855881995521486
185,bfs,50,F,6,98.0,347260.0,0.04253724000591319
186,bfs,50,F,7,98.0,346924.0,0.04547336799441837
187,bfs,50,F,8,98.0,340724.0,0.043533821997698396
188,bfs,50,F,9,98.0,346812.0,0.04534797200176399
189,bfs,50,F,10,98.0,346004.0,0.04389260399329942
190,kohonen,50,F,1,181.85101644429324,30091.0,680.9083671799963
191,kohonen,50,F,2,184.45440194144965,30091.0,683.4232093730025
192,kohonen,50,F,3,166.98243219698816,30091.0,667.123716260001
193,kohonen,50,F,4,181.70412062906925,30091.0,670.6232639329974
194,kohonen,50,F,5,191.98073945007914,30091.0,678.6953503900004
195,kohonen,50,F,6,160.6828029477575,30091.0,672.2715179579973
196,kohonen,50,F,7,174.43262599754806,30091.0,676.0431368589998
197,kohonen,50,F,8,176.4468401161576,30091.0,686.534187514997
198,kohonen,50,F,9,166.84190790881814,30091.0,658.9743601959999
199,kohonen,50,F,10,175.71996928861984,30091.0,663.8631596159976
200,prog_din,50,F,1,98.0,26779.0,0.49722100800136104
201,prog_din,50,F,2,98.0,26779.0,0.5033006379962899
202,prog_din,50,F,3,98.0,26779.0,0.5566605140047614
203,prog_din,50,F,4,98.0,26779.0,0.5072513810009696
204,prog_din,50,F,5,98.0,26779.0,0.512680747997365
205,prog_din,50,F,6,98.0,26779.0,0.48250493001251016
206,prog_din,50,F,7,98.0,26779.0,0.5064372909982922
207,prog_din,50,F,8,98.0,26779.0,0.48348398100642953
208,prog_din,50,F,9,98.0,26779.0,0.5085002239939058
209,prog_din,50,F,10,98.0,26779.0,0.4946807539963629
210,bfs,50,M,1,98.0,337740.0,0.04329688100551721
211,bfs,50,M,2,98.0,306364.0,0.03785582999989856
212,bfs,50,M,3,98.0,330980.0,0.04242523699940648
213,bfs,50,M,4,98.0,342836.0,0.04247518099145964
214,bfs,50,M,5,98.0,342836.0,0.04750763799529523
215,bfs,50,M,6,98.0,340316.0,0.04476697700738441
216,bfs,50,M,7,98.0,333860.0,0.04241394699783996
217,bfs,50,M,8,98.0,329812.0,0.041809747999650426
218,bfs,50,M,9,98.0,342956.0,0.05023825900570955
219,bfs,50,M,10,98.0,346004.0,0.04360215899941977
220,kohonen,50,M,1,158.85771492805713,30091.0,666.4830474140035
221,kohonen,50,M,2,180.46330666854277,30091.0,676.3753797929967
222,kohonen,50,M,3,163.91001842686828,30091.0,682.2387920969995
223,kohonen,50,M,4,174.3569559594916,30091.0,676.6167503050019
224,kohonen,50,M,5,184.43736731523853,30091.0,687.0447159650066
225,kohonen,50,M,6,184.964831837499,30091.0,690.9419034489983
226,kohonen,50,M,7,181.43859598566914,30091.0,687.5858973849972
227,kohonen,50,M,8,181.37574857575578,30091.0,687.1298038320019
228,kohonen,50,M,9,171.9122536796496,30091.0,678.4090897770002
229,kohonen,50,M,10,166.73824964897113,30091.0,680.146796256995
230,prog_din,50,M,1,98.0,26779.0,0.4892043699946953
231,prog_din,50,M,2,98.0,26779.0,0.4294320890039671
232,prog_din,50,M,3,98.0,26779.0,0.4778133810032159
233,prog_din,50,M,4,98.0,26779.0,0.47329441498732194
234,prog_din,50,M,5,98.0,26779.0,0.5021142870100448
235,prog_din,50,M,6,98.0,26779.0,0.5031181229860522
236,prog_din,50,M,7,98.0,26779.0,0.4852630449895514
237,prog_din,50,M,8,98.0,26779.0,0.46388964299694635
238,prog_din,50,M,9,98.0,26779.0,0.5092569800035562
239,prog_din,50,M,10,98.0,26779.0,0.48155865499575157
240,bfs,50,D,1,98.0,349460.0,0.04423713400319684
241,bfs,50,D,2,98.0,341668.0,0.042097137004020624
242,bfs,50,D,3,98.0,316676.0,0.041755939993890934
243,bfs,50,D,4,98.0,277532.0,0.031117677004658617
244,bfs,50,D,5,98.0,344420.0,0.04514249799831305
